StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);
2025-10-28	16:46:53.072664	1761680813.072664;2025-10-28	16:46:53.072664	1761680813.072664;2025-10-28	16:46:53.073785	1761680813.073785;00:00:00;00:00:00;640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2025-10-28	16:46:53.072664	1761680813.072664;2025-10-28	16:46:53.073945	1761680813.073945;2025-10-28	16:47:53.076143	1761680873.076143;00:01:00;00:01:00;640;639.979;639.968;0;0;38400;38400;38400;38400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2025-10-28	16:46:53.072664	1761680813.072664;2025-10-28	16:47:53.076306	1761680873.076306;2025-10-28	16:48:53.080939	1761680933.080939;00:01:00;00:02:00;640;639.991;639.974;0;0;38402;76802;76802;63990;12797;12797;15;15;0;0;0;0;0;0;0;0;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;16;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:001000;00:00:00:001000;00:01:39:890000;00:01:39:890000;00:00:03:420000;00:00:03:420000;
2025-10-28	16:46:53.072664	1761680813.072664;2025-10-28	16:48:53.081097	1761680933.081097;2025-10-28	16:49:53.084340	1761680993.084340;00:01:00;00:03:00;640;639.951;639.966;0;0;38399;115201;115201;63978;38404;51201;7;22;0;0;0;0;0;0;0;0;7;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;23;0;0;0;0;0;0;00:00:00:001000;00:00:00:000000;00:00:00:003000;00:00:00:002000;00:01:39:989000;00:01:39:964000;00:00:01:349000;00:01:23:874000;
2025-10-28	16:46:53.072664	1761680813.072664;2025-10-28	16:49:53.084502	1761680993.084502;2025-10-28	16:50:53.088778	1761681053.088778;00:01:00;00:04:00;640;639.857;639.937;0;0;38394;153595;153595;63959;38379;89580;34;56;0;0;0;0;0;0;0;0;34;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;57;0;0;0;0;0;0;00:00:00:002000;00:00:00:001000;00:00:00:005000;00:00:00:003000;00:01:39:923000;00:01:39:946000;00:00:02:973000;00:01:35:864000;
2025-10-28	16:46:53.072664	1761680813.072664;2025-10-28	16:50:53.088912	1761681053.088912;2025-10-28	16:51:53.092367	1761681113.092367;00:01:00;00:05:00;640;639.985;639.946;0;0;38401;191996;191996;63807;38396;127976;157;213;0;0;0;0;0;0;0;0;157;213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297;1297;0;0;157;214;0;0;0;0;0;0;00:00:00:045000;00:00:00:010000;00:00:00:134000;00:00:00:062000;00:01:39:652000;00:01:39:858000;00:00:06:358000;00:01:34:853000;
2025-10-28	16:46:53.072664	1761680813.072664;2025-10-28	16:51:53.092665	1761681113.092665;2025-10-28	16:52:53.096401	1761681173.096401;00:01:00;00:06:00;640;639.735;639.909;0;0;38386;230382;230382;63830;38363;166339;0;213;0;0;0;0;0;0;0;0;0;213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297;0;0;0;214;0;0;0;0;0;0;00:00:00:001000;00:00:00:008000;00:00:00:005000;00:00:00:057000;00:01:40:012000;00:01:39:893000;00:00:00:011000;00:01:39:938000;
2025-10-28	16:46:53.072664	1761680813.072664;2025-10-28	16:52:53.096569	1761681173.096569;2025-10-28	16:53:53.100910	1761681233.100910;00:01:00;00:07:00;640;639.724;639.881;0;0;38386;268768;268768;63335;38232;204571;649;862;0;0;0;0;0;0;0;0;649;862;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297;0;0;649;863;0;0;0;0;0;0;00:00:00:000000;00:00:00:007000;00:00:00:003000;00:00:00:053000;00:01:38:431000;00:01:39:617000;00:00:12:827000;00:01:38:275000;
2025-10-28	16:46:53.072664	1761680813.072664;2025-10-28	16:53:53.101046	1761681233.101046;2025-10-28	16:54:53.104593	1761681293.104593;00:01:00;00:08:00;640;639.851;639.877;0;0;38393;307161;307161;63734;37994;242565;0;862;0;0;0;0;0;0;0;0;0;862;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297;0;0;0;863;0;0;0;0;0;0;00:00:00:000000;00:00:00:006000;00:00:00:003000;00:00:00:050000;00:01:40:010000;00:01:39:678000;00:00:00:006000;00:01:38:415000;
2025-10-28	16:46:53.072664	1761680813.072664;2025-10-28	16:54:53.104774	1761681293.104774;2025-10-28	16:55:53.108250	1761681353.108250;00:01:00;00:09:00;640;639.785;639.866;0;0;38389;345550;345550;63960;38121;280686;42;904;0;0;0;0;0;0;0;0;42;904;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297;0;0;42;905;0;0;0;0;0;0;00:00:00:000000;00:00:00:006000;00:00:00:002000;00:00:00:047000;00:01:39:900000;00:01:39:708000;00:00:03:315000;00:01:39:009000;
2025-10-28	16:46:53.072664	1761680813.072664;2025-10-28	16:55:53.108414	1761681353.108414;2025-10-28	16:56:53.112321	1761681413.112321;00:01:00;00:10:00;640;639.735;639.852;0;0;38386;383936;383936;63980;38365;319051;1;905;0;0;0;0;0;0;0;0;1;905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297;0;0;1;906;0;0;0;0;0;0;00:00:00:000000;00:00:00:005000;00:00:00:003000;00:00:00:044000;00:01:40:007000;00:01:39:744000;00:00:00:510000;00:01:39:693000;
