StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);
2025-10-28	17:18:04.457803	1761682684.457803;2025-10-28	17:18:04.457803	1761682684.457803;2025-10-28	17:18:04.459555	1761682684.459555;00:00:00;00:00:00;640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2025-10-28	17:18:04.457803	1761682684.457803;2025-10-28	17:18:04.459741	1761682684.459741;2025-10-28	17:19:04.460088	1761682744.460088;00:01:00;00:01:00;640;640;639.979;0;0;38400;38400;38400;38400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2025-10-28	17:18:04.457803	1761682684.457803;2025-10-28	17:19:04.460245	1761682744.460245;2025-10-28	17:20:04.464113	1761682804.464113;00:01:00;00:02:00;640;639.951;639.96;0;0;38399;76799;76799;62720;14079;14079;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:001000;00:00:00:000000;00:01:38:007000;00:01:38:007000;00:00:00:003000;00:00:00:003000;
2025-10-28	17:18:04.457803	1761682684.457803;2025-10-28	17:20:04.464334	1761682804.464334;2025-10-28	17:21:04.468298	1761682864.468298;00:01:00;00:03:00;640;640.018;639.976;0;0;38403;115202;115202;62722;38401;52480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:002000;00:00:00:001000;00:01:38:007000;00:01:38:007000;00:00:00:003000;00:01:21:840000;
2025-10-28	17:18:04.457803	1761682684.457803;2025-10-28	17:21:04.468470	1761682864.468470;2025-10-28	17:22:04.472403	1761682924.472403;00:01:00;00:04:00;640;639.835;639.938;0;0;38392;153594;153594;62713;38401;90881;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:002000;00:00:00:000000;00:00:00:009000;00:00:00:005000;00:01:38:011000;00:01:38:008000;00:00:00:011000;00:01:34:519000;
2025-10-28	17:18:04.457803	1761682684.457803;2025-10-28	17:22:04.472590	1761682924.472590;2025-10-28	17:23:04.476634	1761682984.476634;00:01:00;00:05:00;640;639.807;639.912;0;0;38391;191985;191985;62719;38385;129266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:001000;00:00:00:004000;00:01:38:008000;00:01:38:008000;00:00:00:004000;00:01:33:977000;
2025-10-28	17:18:04.457803	1761682684.457803;2025-10-28	17:23:04.476834	1761682984.476834;2025-10-28	17:24:04.480696	1761683044.480696;00:01:00;00:06:00;640;639.935;639.914;0;0;38398;230383;230383;62713;38404;167670;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:002000;00:00:00:004000;00:01:38:014000;00:01:38:010000;00:00:00:020000;00:01:35:845000;
2025-10-28	17:18:04.457803	1761682684.457803;2025-10-28	17:24:04.480848	1761683044.480848;2025-10-28	17:25:04.484367	1761683104.484367;00:01:00;00:07:00;640;639.801;639.896;0;0;38390;268773;268773;62708;38395;206065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:001000;00:00:00:004000;00:01:38:009000;00:01:38:010000;00:00:00:006000;00:01:37:761000;
2025-10-28	17:18:04.457803	1761682684.457803;2025-10-28	17:25:04.484530	1761683104.484530;2025-10-28	17:26:04.489021	1761683164.489021;00:01:00;00:08:00;640;639.474;639.842;0;0;38371;307144;307144;62686;38393;244458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:002000;00:00:00:004000;00:01:38:009000;00:01:38:009000;00:00:00:005000;00:01:37:822000;
2025-10-28	17:18:04.457803	1761682684.457803;2025-10-28	17:26:04.489129	1761683164.489129;2025-10-28	17:27:04.492290	1761683224.492290;00:01:00;00:09:00;640;639.851;639.843;0;0;38393;345537;345537;62701;38378;282836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:010000;00:00:00:001000;00:00:00:039000;00:00:00:013000;00:01:38:019000;00:01:38:011000;00:00:00:039000;00:01:37:233000;
