StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);
2025-10-29	14:42:48.810930	1761759768.810930;2025-10-29	14:42:48.810930	1761759768.810930;2025-10-29	14:42:48.812166	1761759768.812166;00:00:00;00:00:00;640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2025-10-29	14:42:48.810930	1761759768.810930;2025-10-29	14:42:48.812360	1761759768.812360;2025-10-29	14:43:48.816466	1761759828.816466;00:01:00;00:01:00;640;639.991;639.98;0;0;38402;38402;38402;38402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2025-10-29	14:42:48.810930	1761759768.810930;2025-10-29	14:43:48.816602	1761759828.816602;2025-10-29	14:44:48.820171	1761759888.820171;00:01:00;00:02:00;640;640.018;639.994;0;0;38403;76805;76805;63364;13441;13441;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:001000;00:00:00:000000;00:01:39:007000;00:01:39:007000;00:00:00:003000;00:00:00:003000;
2025-10-29	14:42:48.810930	1761759768.810930;2025-10-29	14:44:48.820320	1761759888.820320;2025-10-29	14:45:48.824170	1761759948.824170;00:01:00;00:03:00;640;639.968;639.982;0;0;38400;115205;115205;63362;38402;51843;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:002000;00:00:00:001000;00:01:39:007000;00:01:39:007000;00:00:00:003000;00:01:22:846000;
2025-10-29	14:42:48.810930	1761759768.810930;2025-10-29	14:45:48.824341	1761759948.824341;2025-10-29	14:46:48.828336	1761760008.828336;00:01:00;00:04:00;640;639.885;639.955;0;0;38395;153600;153600;63357;38400;90243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:003000;00:00:00:002000;00:01:39:008000;00:01:39:007000;00:00:00:005000;00:01:35:187000;
2025-10-29	14:42:48.810930	1761759768.810930;2025-10-29	14:46:48.828487	1761760008.828487;2025-10-29	14:47:48.832606	1761760068.832606;00:01:00;00:05:00;640;639.857;639.935;0;0;38394;191994;191994;63384;38367;128610;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:001000;00:00:00:001000;00:01:39:009000;00:01:39:008000;00:00:00:006000;00:01:34:456000;
2025-10-29	14:42:48.810930	1761759768.810930;2025-10-29	14:47:48.832785	1761760068.832785;2025-10-29	14:48:48.836284	1761760128.836284;00:01:00;00:06:00;640;639.768;639.906;0;0;38388;230382;230382;63342;38430;167040;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:001000;00:00:00:001000;00:01:39:009000;00:01:39:008000;00:00:00:006000;00:01:36:206000;
2025-10-29	14:42:48.810930	1761759768.810930;2025-10-29	14:48:48.836430	1761760128.836430;2025-10-29	14:49:48.840367	1761760188.840367;00:01:00;00:07:00;640;639.618;639.863;0;0;38379;268761;268761;63334;38387;205427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:003000;00:00:00:002000;00:01:39:009000;00:01:39:008000;00:00:00:005000;00:01:38:065000;
2025-10-29	14:42:48.810930	1761759768.810930;2025-10-29	14:49:48.840578	1761760188.840578;2025-10-29	14:50:48.844307	1761760248.844307;00:01:00;00:08:00;640;639.718;639.844;0;0;38385;307146;307146;63333;38386;243813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:002000;00:00:00:002000;00:01:39:009000;00:01:39:008000;00:00:00:005000;00:01:38:080000;
2025-10-29	14:42:48.810930	1761759768.810930;2025-10-29	14:50:48.844452	1761760248.844452;2025-10-29	14:51:48.848181	1761760308.848181;00:01:00;00:09:00;640;639.735;639.83;0;0;38386;345532;345532;63339;38380;282193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:001000;00:00:00:000000;00:00:00:003000;00:00:00:002000;00:01:39:011000;00:01:39:009000;00:00:00:008000;00:01:38:636000;
