StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_>=10000;
2025-11-13	16:39:33.149351	1763062773.149351;2025-11-13	16:39:33.149351	1763062773.149351;2025-11-13	16:39:33.150950	1763062773.150950;00:00:00;00:00:00;130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;
2025-11-13	16:39:33.149351	1763062773.149351;2025-11-13	16:39:33.151143	1763062773.151143;2025-11-13	16:39:34.155029	1763062774.155029;00:00:01;00:00:01;130;128.614;128.358;0;0;129;129;129;129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;
2025-11-13	16:39:33.149351	1763062773.149351;2025-11-13	16:39:34.155170	1763062774.155170;2025-11-13	16:39:35.159476	1763062775.159476;00:00:01;00:00:02;130;130.478;129.353;0;0;131;260;260;260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;6;7;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;
2025-11-13	16:39:33.149351	1763062773.149351;2025-11-13	16:39:35.159625	1763062775.159625;2025-11-13	16:39:36.163138	1763062776.163138;00:00:01;00:00:03;130;130.608;129.771;0;0;131;391;391;391;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9;0;0;0;0;0;0;3;10;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;
2025-11-13	16:39:33.149351	1763062773.149351;2025-11-13	16:39:36.163290	1763062776.163290;2025-11-13	16:39:37.166657	1763062777.166657;00:00:01;00:00:04;130;129.611;129.699;0;0;130;521;521;521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;12;0;0;0;0;0;0;3;13;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;
2025-11-13	16:39:33.149351	1763062773.149351;2025-11-13	16:39:37.166820	1763062777.166820;2025-11-13	16:39:38.170829	1763062778.170829;00:00:01;00:00:05;130;130.478;129.855;0;0;131;652;652;652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;17;0;0;0;0;0;0;5;18;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;
2025-11-13	16:39:33.149351	1763062773.149351;2025-11-13	16:39:38.170930	1763062778.170930;2025-11-13	16:39:39.175629	1763062779.175629;00:00:01;00:00:06;133;130.478;129.937;0;0;131;783;783;783;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;18;0;0;0;0;0;0;1;19;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;
2025-11-13	16:39:33.149351	1763062773.149351;2025-11-13	16:39:39.175802	1763062779.175802;2025-11-13	16:39:40.179403	1763062780.179403;00:00:01;00:00:07;135;132.602;130.299;0;0;133;916;916;916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19;0;0;0;0;0;0;1;20;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;
2025-11-13	16:39:33.149351	1763062773.149351;2025-11-13	16:39:40.179563	1763062780.179563;2025-11-13	16:39:41.183104	1763062781.183104;00:00:01;00:00:08;137;134.596;130.835;0;0;135;1051;1051;1051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;20;0;0;0;0;0;0;1;21;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;
2025-11-13	16:39:33.149351	1763062773.149351;2025-11-13	16:39:41.183244	1763062781.183244;2025-11-13	16:39:42.187217	1763062782.187217;00:00:01;00:00:09;137;136.59;131.46;0;0;137;1188;1188;1188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;23;0;0;0;0;0;0;3;24;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;
2025-11-13	16:39:33.149351	1763062773.149351;2025-11-13	16:39:42.187351	1763062782.187351;2025-11-13	16:39:43.191447	1763062783.191447;00:00:01;00:00:10;137;137.45;132.045;0;0;138;1326;1326;1326;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;24;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;
2025-11-13	16:39:33.149351	1763062773.149351;2025-11-13	16:39:43.191606	1763062783.191606;2025-11-13	16:39:44.195577	1763062784.195577;00:00:01;00:00:11;137;136.59;132.446;0;0;137;1463;1463;1463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;24;0;0;0;0;0;0;1;25;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;
2025-11-13	16:39:33.149351	1763062773.149351;2025-11-13	16:39:44.195709	1763062784.195709;2025-11-13	16:39:45.199072	1763062785.199072;00:00:01;00:00:12;137;137.587;132.874;0;0;138;1601;1601;1601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;29;0;0;0;0;0;0;5;30;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;
2025-11-13	16:39:33.149351	1763062773.149351;2025-11-13	16:39:45.199208	1763062785.199208;2025-11-13	16:39:46.202794	1763062786.202794;00:00:01;00:00:13;137;136.59;133.149;0;0;137;1738;1738;1738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;34;0;0;0;0;0;0;5;35;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;
2025-11-13	16:39:33.149351	1763062773.149351;2025-11-13	16:39:46.203033	1763062786.203033;2025-11-13	16:39:47.207025	1763062787.207025;00:00:01;00:00:14;137;137.587;133.457;0;0;138;1876;1876;1876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;35;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;
2025-11-13	16:39:33.149351	1763062773.149351;2025-11-13	16:39:47.207156	1763062787.207156;2025-11-13	16:39:48.211091	1763062788.211091;00:00:01;00:00:15;137;137.587;133.723;0;0;138;2014;2014;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;37;0;0;0;0;0;0;3;38;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;
